OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
11186,16-038770,20160220,WILDERNESS DR btwn PINE MARTIN CRES & PINE MARTIN CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11187,16-060479,20160321,BELMONT AVE W btwn ARGYLE ST & BELMONT LANE E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11188,16-056527,20160316,MOUNTAIN LAUREL CRES btwn BRIDLEWREATH ST & BERRY MOSS ST,01-Non intersection,09-Right shoulder,02-Rain,07-Dark,MIDBLOCK,
11189,16-057166,20160316,MEADOW WOODS CRES btwn DRIFTWOOD DR & ROLLING MEADOWS DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11190,16-051213,20160309,ELKINGTON DR btwn ROSEMOUNT DR & MANCHESTER RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11191,16-052698,20160311,FAIRWAY RD S btwn WABANAKI DR & WILSON AVE,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,
11192,15-272202,20151221,SEABROOK DR btwn WOODBINE AVE & VALENCIA AVE,01-Non intersection,11-Not on roadway - right side,02-Rain,07-Dark,MIDBLOCK,
11193,16-044744,20160301,PARKVALE DR btwn WOODBINE AVE & PARKVALE CRT,04-At/near private drive,02-Thru lane,06-Strong wind,01-Daylight,MIDBLOCK,
11194,16-037500,20160220,HURON RD btwn STRASBURG RD & NEWCASTLE DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11195,16-060550,20160319,SOPHIA CRES btwn CORSICA ST & WOODBINE AVE,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11196,16-049962,20160307,FOREST GLEN CRES btwn FORESTWOOD DR & FOREST GLEN CRT,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11197,16-034901,20160216,PINEHURST CRES btwn MCGARRY DR & MCGARRY DR,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",MIDBLOCK,
11198,16-044905,20160301,QUEENS BLVD btwn BELMONT AVE E & BLUERIDGE AVE,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11199,16-040362,20160224,SOUTHMOOR DR btwn YAGER AVE & YAGER AVE,01-Non intersection,09-Right shoulder,04-Freezing Rain,01-Daylight,MIDBLOCK,
11200,16-048026,20160305,HIGHLAND RD E btwn SPADINA RD E & DELAWARE AVE,01-Non intersection,11-Not on roadway - right side,01-Clear,05-Dusk,MIDBLOCK,
11201,16-030866,20160211,CAMERON ST N btwn WEBER ST E & ROSE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11202,16-060486,20160320,ROSE ST btwn KRUG ST & CAMERON ST N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11203,16-043979,20160229,LAWRENCE AVE btwn PAULANDER DR & VICTORIA ST S,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,
11204,16-030618,20160211,GAGE AVE btwn WAVERLY RD & BELMONT AVE W,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11205,16-044147,20160229,STRANGE ST btwn WAVERLY RD & DOMINION ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11206,16-018641,20160126,BLOCK LINE RD btwn WESTMOUNT RD E & LAURENTIAN DR,01-Non intersection,11-Not on roadway - right side,01-Clear,05-Dusk,MIDBLOCK,
11207,16-019318,20160127,FRANKLIN ST N btwn DREGER AVE & OTTAWA ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11208,16-047513,20160305,JOSEPH ST btwn VICTORIA ST S & END,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
11209,16-052452,20160311,PARK ST btwn CHERRY ST & STEWART ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11210,15-251760,20151123,PARK ST btwn VICTORIA ST S & CHERRY ST,06-Underpass or tunnel,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11211,16-063463,20160325,BIRKSHIRE CRT btwn LORRAINE AVE & CUL DE SAC,04-At/near private drive,11-Not on roadway - right side,"07-Fog, mist, smoke, dust","08-Dark, artificial",MIDBLOCK,
11212,16-073549,20160407,DAHLIA ST btwn PROSPERITY DR & PROSPERITY DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11213,16-036492,20160219,GATEWAY PARK DR btwn SPORTSWORLD DR & TU LANE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11214,16-036284,20160215,INDIGO ST btwn PROSPERITY DR & PROSPERITY DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11215,16-071139,20160404,CHANDOS DR btwn GRAND RIVER BLVD & CHANDOS CRT,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11216,16-053443,20160312,WILSON AVE btwn FAIRWAY RD S & WEBSTER RD,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,
11217,15-272979,20151222,MCINTYRE DR btwn MCBRINE DR & TRILLIUM DR,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
11218,16-074302,20160408,HIDDEN CREEK DR btwn HOLLYRIDGE CRES & WESTFOREST TRAIL,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11219,16-036288,20160219,PARK ST btwn DOMINION ST & STRANGE ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11220,16-045573,20160302,EDNA ST btwn FREDERICK ST & DUMFRIES AVE,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11221,16-071829,20160405,EIGHTH AVE btwn GREENFIELD AVE & WILSON AVE,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11222,15-248288,20151118,TRILLIUM DR btwn ADAM FERRIE PL & SHOEMAKER ST,04-At/near private drive,09-Right shoulder,02-Rain,07-Dark,MIDBLOCK,
11223,16-058767,20160319,SCOTT ST btwn KING ST E & MARKET LANE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11224,16-071643,20160404,UXBRIDGE CRES btwn ERINBROOK DR & ERINBROOK DR,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11225,16-028486,20160208,COMMONWEALTH ST btwn COMMONWEALTH CRES & COMMONWEALTH CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11226,16-081529,20160417,PIONEER DR btwn DOON VILLAGE RD & VINTAGE CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11227,16-041891,20160226,KINGSWAY DR btwn GREENFIELD AVE & WILSON AVE,01-Non intersection,02-Thru lane,01-Clear,"02-Daylight, artificial",MIDBLOCK,
11228,16-075911,20160410,KINGSWAY DR btwn GREENFIELD AVE & WILSON AVE,04-At/near private drive,02-Thru lane,04-Freezing Rain,07-Dark,MIDBLOCK,
11229,16-059958,20160320,DREGER AVE btwn GRABER PL & EVELYN CRES,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",MIDBLOCK,
11230,16-069712,20160402,LAWRENCE AVE btwn HIGHLAND RD W & PAULANDER DR,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11231,16-079208,20160415,SEABROOK DR btwn WOODBINE AVE & VALENCIA AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11232,16-076268,20160411,CECILE DR btwn QUEENS BLVD & OVERLEA DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11233,16-085870,20160422,NEWBURY DR btwn BURNABY CRES & ROLLING MEADOWS DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11234,16-034791,20160217,KING ST W btwn ONTARIO ST S & YOUNG ST,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11235,16-029695,20160210,STRASBURG RD btwn TRILLIUM DR & BATTLER RD,01-Non intersection,02-Thru lane,03-Snow,"08-Dark, artificial",MIDBLOCK,
11236,16-031826,20160212,DEER RIDGE CRES btwn DEER RIDGE DR & DEER RIDGE CRT,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11237,16-055335,20160315,KINGSWAY DR btwn GREENFIELD AVE & WILSON AVE,01-Non intersection,02-Thru lane,02-Rain,"08-Dark, artificial",MIDBLOCK,
11238,16-033274,20160214,COLTON CIR btwn AMELIA ST & AMELIA ST,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11239,16-077557,20160413,MOOREGATE CRES btwn HAZELGLEN DR & HAZELGLEN DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11240,16-042687,20160227,VANIER DR btwn ERIE AVE & MASSEY AVE,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11241,15-026349,20150205,RIVERBEND DR btwn GUELPH ST & BRIDGEPORT RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11242,16-076852,20160412,HIGHLAND RD W btwn HIGHLAND CRES & FIELDGATE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11243,16-056171,20160316,UPPER CANADA DR btwn DOON VILLAGE RD & FARRIER DR,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,
11244,16-055491,20160315,RIVER RD E btwn HICKSON DR & OTTAWA ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11245,16-043156,20160228,KINGSWOOD DR btwn ALPINE RD & GRACEFIELD CRES,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",MIDBLOCK,
11246,16-067782,20160331,MAX BECKER DR btwn COPPER LEAF CRES & ISABELLA ST,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11247,16-044138,20160229,GUELPH ST btwn ARNOLD ST & ENGLEWOOD PL,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11248,16-023727,20160202,QUEEN ST S btwn KING ST E & HALLS LANE E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11249,16-000423,20160101,OVERLEA DR btwn LOMBARDY CRT & OVERLEA CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11250,16-064944,20160327,MARY ST btwn PINE ST & WATERLOO BOUNDARY,01-Non intersection,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",MIDBLOCK,
11251,16-159570,20160723,BINGEMANS CENTRE DR btwn RIVERBEND DR & SHIRLEY DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11252,16-173233,20160809,VANIER DR btwn SIEBERT AVE & TRAYNOR AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11253,16-136540,20160624,VANIER DR btwn CUL DE SAC & BONIFACE AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11254,16-144570,20160703,MARGARET AVE btwn QUEEN ST N & MAYNARD AVE,01-Non intersection,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11255,16-126729,20160613,WESTMEADOW DR btwn BRAMBLEWOOD ST & WINDING MEADOW CRT,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11256,16-171058,20160806,JANET CRT btwn ZELLER DR & CUL DE SAC,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11257,16-156380,20160718,WESTVIEW CRES btwn WESTVIEW CRT & ROLLING MEADOWS DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11258,16-182247,20160820,INGLESIDE DR btwn DALEGROVE DR & INGLESIDE PL,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11259,16-124493,20160610,FALLOWFIELD DR btwn FALLVIEW ST & BLEAMS RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11260,16-191164,20160829,STIRLING AVE S btwn LORNE CRES & LORNE AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11261,16-153563,20160715,STRASBURG RD btwn OLD COUNTRY DR & BLEAMS RD,04-At/near private drive,09-Right shoulder,01-Clear,05-Dusk,MIDBLOCK,
11262,16-206033,20160917,UPPER CANADA DR btwn LOWER CANADA CRES & PIONEER DR,04-At/near private drive,09-Right shoulder,02-Rain,01-Daylight,MIDBLOCK,
11263,16-196651,20160907,WELLINGTON ST N btwn SPRING VALLEY RD & CIRCA DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11264,16-192798,20160902,WILDERNESS DR btwn WATERWILLOW CRT & MOUNTAIN MINT CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11265,16-191064,20160831,WILSON AVE btwn KINGSWAY DR & FAIRWAY RD S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11266,16-160476,20160724,WINSLOW DR btwn HIGHLAND RD E & SPADINA RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11267,16-194873,20160905,ACTIVA AVE btwn WILDERNESS DR & COPPER LEAF ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11268,16-179888,20160817,ALPINE RD btwn ALPINE CRT & KINGSWOOD DR,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11269,16-187716,20160827,ANVIL ST btwn FARMINGTON PL & BECHTEL DR,04-At/near private drive,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,
11270,16-173815,20160810,BATTLER RD btwn STRASBURG RD & HURON RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11271,16-195589,20160906,BELMONT AVE W btwn UNION BLVD & WATERLOO BOUNDARY,01-Non intersection,99-Other,01-Clear,01-Daylight,MIDBLOCK,
11272,16-182980,20160821,BRYBECK CRES btwn KARN ST & WESTMOUNT RD W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11273,16-190517,20160831,BRYBECK CRES btwn KARN ST & WESTMOUNT RD W,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11274,16-189344,20160829,KENNETH AVE btwn PROSPECT AVE & WILFRED AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11275,16-158899,20160722,KING ST E btwn DANE ST & BORDEN AVE N,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
11276,16-212682,20160925,DINISON CRES btwn DINISON PL & ALBION ST,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11277,16-196859,20160827,DRIFTWOOD DR btwn WESTHEIGHTS DR & ROYAL ORCHARD DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11278,16-207014,20160919,LOUISA ST btwn KING ST W & MOORE AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11279,16-186986,20160826,MCGARRY DR btwn FISCHER HALLMAN RD & ELM RIDGE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11280,16-171880,20160807,ERINBROOK DR btwn RIDGEWAY CRES & RITTENHOUSE RD,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,
11281,16-212138,20160925,FAIRVIEW AVE btwn KING ST E & WEBER ST E,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11282,16-156603,20160719,SOUTHILL DR btwn THALER AVE & MORGAN AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11283,16-184253,20160823,MORRISON RD btwn GRAND RIVER BLVD & QUINTE CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11284,16-163891,20160727,NORTHMANOR CRES btwn RESURRECTION DR & RESURRECTION DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11285,16-190964,20160828,OLD FOREST CRES btwn DRIFTWOOD DR & DRIFTWOOD DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11286,16-193426,20160903,FOREST CREEK DR btwn ROBERT FERRIE DR & DOON CREEK ST,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,
11287,16-202141,20160913,FOREST GLEN CRES btwn FORESTWOOD DR & FOREST GLEN CRT,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11288,16-208560,20160921,PARK ST btwn CHERRY ST & STEWART ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11289,16-202282,20160913,PEACH BLOSSOM CRT btwn PEACH BLOSSOM CRES & END,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11290,16-208117,20160920,PERTH RD btwn PLEASANT AVE & BURNSIDE AVE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11291,16-175530,20160812,FRANCIS ST N btwn END & WATER ST N,01-Non intersection,11-Not on roadway - right side,01-Clear,03-Dawn,MIDBLOCK,
11292,16-191954,20160901,PIONEER DR btwn UPPER CANADA DR & DOON VILLAGE RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11293,16-204683,20160916,PIONEER DR btwn UPPER CANADA DR & DOON VILLAGE RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11294,16-198585,20160909,POMPEII ST btwn WOODBINE AVE & SORRENTO ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11295,16-194163,20160904,GATEWAY PARK DR btwn SPORTSWORLD DR & TU LANE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11296,16-194908,20160905,GREY FOX DR btwn ORCHID CRES & QUEEN CHARLOTTE CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11297,16-189088,20160828,SECOND AVE btwn KINGSWAY DR & CONNAUGHT ST,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11298,16-183887,20160822,SETTLERS DR btwn THE COUNTRY WAY & SETTLERS CRT,01-Non intersection,09-Right shoulder,01-Clear,05-Dusk,MIDBLOCK,
11299,16-196732,20160907,HERBERT ST btwn PINE ST & WATERLOO BOUNDARY,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11300,16-194208,20160904,HOFFMAN ST btwn HIGHLAND RD E & HOMER WATSON BLVD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11301,16-180133,20160818,HOFFMAN ST btwn OLYMPIC DR & MEINZINGER AVE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11302,16-186546,20160826,SHANLEY ST btwn BRAUN ST & MOORE AVE,01-Non intersection,10-Not on roadway - left side,01-Clear,"04-Dawn, artificial",MIDBLOCK,
11303,16-196594,20160906,SHERWOOD AVE btwn BECKER ST & SMITHSON ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11304,16-198623,20160909,STIRLING AVE S btwn CHARLES ST E & FORK IN ROAD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11305,16-208827,20160921,STIRLING AVE S btwn PLEASANT AVE & MAUSSER AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11306,16-212893,20160926,STIRLING AVE S btwn COURTLAND AVE E & MILL ST,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11307,16-217919,20161002,CHELSEA RD btwn WANDSWORTH PL & BELLEVIEW AVE,99-Other,12-Off highway,02-Rain,01-Daylight,MIDBLOCK,
11308,16-244897,20161105,HALLS LANE E btwn BENTON ST & EBY ST S,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11309,16-238030,20161028,PIONEER DR btwn UPPER CANADA DR & DOON VILLAGE RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11310,16-220299,20161005,STRASBURG RD btwn MCINTYRE DR & TRILLIUM DR,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,
11311,16-248574,20161110,COMMONWEALTH CRES btwn ISABELLA ST & ISABELLA ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11312,16-245100,20161105,GUELPH ST btwn EDWIN ST & ST VINCENT ST,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",MIDBLOCK,
11313,16-225855,20161012,CLIVE RD btwn BRENTWOOD AVE & FAIRMOUNT RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11314,16-243885,20161103,VANIER DR btwn SIEBERT AVE & TRAYNOR AVE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11315,16-224166,20161010,HAWKSWOOD DR btwn WOOLWICH ST N & CONDOR ST,01-Non intersection,02-Thru lane,01-Clear,05-Dusk,MIDBLOCK,
11316,16-244167,20161104,STIRLING AVE S btwn CHARLES ST E & FORK IN ROAD,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11317,16-248734,20161108,WABANAKI DR btwn WILSON AVE & GOODRICH DR,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,
11318,16-246120,20161107,ELM RIDGE DR btwn HILLBROOK CRES & QUEENS BLVD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11319,16-225778,20161012,FIFTH AVE btwn KINGSWAY DR & CONNAUGHT ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11320,16-241833,20161102,FIFTH AVE btwn GREENFIELD AVE & WILSON AVE,01-Non intersection,12-Off highway,01-Clear,"08-Dark, artificial",MIDBLOCK,
11321,16-208958,20160921,HIGHLAND RD E btwn HOFFMAN ST & CUL DE SAC,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11322,16-183366,20160822,WOODVIEW CRES btwn WOODVIEW CRT & RIVER RD W,01-Non intersection,11-Not on roadway - right side,01-Clear,"02-Daylight, artificial",MIDBLOCK,
11323,16-253520,20161117,ACTIVA AVE btwn ISAIAH DR & SNOWDROP CRES,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11324,16-256509,20161121,ACTIVA AVE btwn MAX BECKER DR & BERRY MOSS ST,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11325,16-204204,20160915,ZELLER DR btwn BROOKMEAD ST & OLD ZELLER DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11326,16-251655,20161114,FRANCIS ST S btwn CHARLES ST W & JOSEPH ST,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11327,16-244833,20161105,DEER RIDGE DR btwn TERRACE WOOD DR & DEER RIDGE CRES,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11328,16-236698,20161026,MICHENER CRES btwn OLDFIELD DR & MICHENER CRT,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11329,16-256668,20161121,SHIRLEY DR btwn CEDARVIEW PL & CRESTVIEW PL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11330,16-236677,20161025,REICHERT DR btwn NEW DUNDEE RD & END,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,MIDBLOCK,
11331,16-246150,20161107,SHANLEY ST btwn BRAUN ST & MOORE AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11332,16-238319,20161028,GATEWAY PARK DR btwn SPORTSWORLD DR & TU LANE ST,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,
11333,16-120869,20160604,THALER AVE btwn KINZIE AVE & FAIRWAY RD N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11334,16-106060,20160519,BELMONT AVE W btwn ARGYLE ST & BELMONT LANE E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11335,16-128693,20160613,MOUNTAIN LAUREL CRES btwn BLUE LACE CRES & BLUE LACE CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11336,16-119372,20160603,SWARTZ ST btwn DUBRICK CRES & COMMONWEALTH ST,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11337,16-126340,20160611,HURON RD btwn STRASBURG RD & NEWCASTLE DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,
11338,16-072432,20160406,BIEHN DR btwn MITTON PL & ROBERTSON CRES,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,
11339,16-092660,20160502,BRYBECK CRES btwn KARN ST & WESTMOUNT RD W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11340,16-086063,20160423,KINGSWAY DR btwn EIGHTH AVE & NINTH AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11341,16-108280,20160522,GAY CRES btwn CONWAY DR & CONWAY DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
11342,16-088925,20160427,DAVID BERGEY DR btwn PEACH BLOSSOM CRES & OTTAWA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,
11343,16-106252,20160519,LENNOX LEWIS WAY btwn BLOCK LINE RD & ARDELT AVE,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,
